,id,title,content,gender,topics,school,department,with_images,OUTCOME
0,255214075,#分享 Sabon 臉部產品+金卡4月生日禮,一樣先來張大合照～   還欠一條新口味的護手霜（橙沐向陽） 這次幾乎都是臉部產品， 分別是： 👉大馬士革玫瑰有機光燦潤澤霜 👉紳士臉部保濕乳液 👉薰衣草植萃保濕噴霧 👉明星三部曲推薦組  偷偷表白一下櫃哥， 包裝的很用心   再來則是這次的金卡生日禮， 總共有兩樣可以選， 我覺得比去年好太多了🤣  分別是： 洗手乳和身體乳  大家掰掰～,F,"['sabon', '臉部', '產品', '美妝', '不是好物不推薦']",Leonard,c123321123,FALSE,0
1,255213904,#分享 solone底妝工具好物開箱🥹,身為solone的老粉絲 買過他們家一堆上妝工具  真心認為他們是台灣數一數二的美妝工具專家 不管是舒芙蕾還是刷具 都做得超好用!! 最近逛官網看到他們又出了新品 腦波弱的我馬上買來用用看 小開箱跟大家分享~  #彎月細緻底妝抹刀  之前就有用過solone家的抹刀 我自己是很喜歡用抹刀+舒芙蕾化出來的輕薄妝感 看到這次出短的抹刀  想說外出攜帶也更方便 就下單ㄌ 這隻抹刀是雙頭的設計 挖勺可以適量挖取粉底或保養品 也能更準確估算用量 算是一個蠻貼心的設計 刮在手上給大家看看~我覺得蠻順手的  這個造型的抹刀長邊可以大面積刮開比如臉頰、額頭 短邊就用在鼻翼那種小地方也很好用 後續再用舒芙蕾均勻拍開 就能完成自然又輕薄的底妝 省時省力又好看!  #舒芙蕾粉撲 (石形、愛心形、石形手指粉撲) 每次看到他們家舒芙蕾出新的花色跟形狀就會想要收藏!! 我這次買了三種造型的粉撲 *石形   這款是大理石圖案的粉撲 花紋很美、形狀跟厚薄度都剛剛好 而且彈力帶有彈性、也蠻好施力的 一顆就能搞定大面積妝容跟細節修飾  這顆直接榮獲我近期的新歡粉撲第一名!  *愛心形   這個愛心造型可愛到爆炸 我根本捨不得用T-T 不過這顆也是屬於多用途的粉撲 圓弧處跟尖尖處分別可以上不同的細節 不管是拿來上遮瑕、修容、腮紅都很適合!  *石形手指粉撲   跟他們家舊款的手指粉撲比起來  我覺得有彈力帶的這顆更好上手! 粉撲一樣澎澎的 很Q彈 也不太吃粉~ 我覺得用來上眼下遮瑕很可以 細節控一定要準備起來!  以上就分享到這啦，最後補個購買證明~ 這次挑的抹刀跟粉撲我覺得都很可以! 不只看了心情好 用來上妝也效率滿分👍 之後如果有再買到其他好物 也會再分享給大家ㄉ! 下台一鞠躬~ ,F,"['solone', '粉底抹刀', '舒芙蕾', '粉撲']",國立臺灣海洋大學,,TRUE,0
2,255213416,#分享 保養好物愛用分享,前陣子失心瘋買了好多新保養品，櫃子呈現一個快炸開的狀態😂 趁著整理來跟大家分享好用小物 ‼️我的肌膚是混和偏乾 蜜糖毒藥論 請大家斟酌服用‼️   🎈Dr. Satin 魚子大馬士革玫瑰保濕噴霧    除了噴霧很細，這個玫瑰味道真的超香超好聞！！😍 香味是淡淡的那種，不會像香水那麼濃，但又能維持一陣子，真,F,"['分享', '保養', '好物', 'A醇', '玻尿酸']",走過路過就錯過,emily_0925,FALSE,0
3,255213372,#分享 用過就回不去👑誰才是精華水天花板？,前幾天在整理地震後雜亂的屋子 看到一些用完沒丟的保養品空罐 決定來整理一些化妝水/精華水的小心得😼   有平價的也有高級的 一字排開才發現自己真的用過不少🤣  1️⃣   這罐大概在三四年前在版上很紅 自己覺得滿溫和的 很適合濕敷 加上很便宜！用多了也不會心疼 算是平價又看得到效果的化妝水！  2️⃣   這個是舊的包裝，現在包裝已經不一樣了 有一陣子夏天痘痘和粉刺爆多 看到很多人油肌人推薦這瓶就買了 質地是清爽型擦起來清爽好吸收 痘痘濕敷很快就可以壓下去 後來皮膚比較穩定就沒有再回購  3️⃣   主打改善毛孔，我自己用下來是不明顯 毛孔大小沒什麼變化，不過控油效果還行 質地也是清爽路線，很適合夏天用～  4️⃣   算是我入門專櫃的第一款濕敷型精華水 保濕鎮靜真的滿有感的，尤其針對泛紅很有效 天氣比較乾冷的時候我都會濕敷這罐補水  5️⃣   改版前的版本，櫃姐教我搭配化妝棉擦拭 有酸類可以把臉的老廢角質質代謝掉 用完一瓶覺得鼻翼兩側粗糙也改善滿多的 皮膚透亮度也有提升，很像被拋光過  6️⃣   持續愛用中的Skll的青春露 是我心中精華水的天花板💖 有高濃度的Pitera 保濕、提亮、細緻肌膚的效果很有感 綜合了很多精華水的優點 開始用青春露之後，可以省略蠻多其他保養品 單靠這瓶就可以讓皮膚維持在很健康的狀態 算是我穩定膚況明顯的大功臣 所以每次用完但還是會乖乖回購🥹   最後附上最近保養的成果   很愛這種肌膚自然透出的光✨ 以上是這次的分享 謝謝大家看完～～,F,"['回不去', '精華', '天花板']",國立臺灣科技大學,,FALSE,0
4,255213196,#分享 唇部保養也能美得有質感！克蘭詩彈潤植萃美唇油 #D樂園推推,🍒前言 觀望這款美唇油一段時間了，但遲遲沒入手，剛好跟上直播禮，等到試用包寄來就來分享使用心得～  🍒外觀和質地  雖是一張小小的試用卡，可說麻雀雖小五臟俱全呢！唇刷做得很精緻也很好塗抹，唯一讓人困擾的是試用的包裝有點難轉開（正品就不會有這問題），邊轉邊從缺口那邊滲出唇油😆是能感受到克蘭詩試用品量給得有多阿莎力啦🤣  它的味道是櫻桃糖果味，偏好少女味道的人應該很能接受。成分是油，但附著在唇上的感覺就像塗一般護唇膏一樣，只是流動性比較高，毫無油膩不舒服的感覺，平常習慣塗護唇膏與唇膜的我不需要重新適應呢！只能說這技術很厲害。  簡單在手上先試個色給各位參考，塗一層的效果能透出淡淡的紅色，不會太豔👇🏻   🍒使用效果 最近唇況不大好，下唇乾燥也有死皮狀況，一刷上去馬上還我一個水嫩嘟唇，艷紅櫻桃的顏色是很經典的正紅色，由於單擦一層有點淡，附,F,"['不是好物不推薦', '保養', 'D樂園推推', '克蘭詩']",國立臺灣大學,,FALSE,1
5,255213132,#分享 保養完後頭髮再也不貼額頭🖐️也能抱著絨毛娃娃安心入睡, 嗨嗨大家好哇！ 這裡是小雞腿⸜(*ˊᗜˋ*)⸝🍗  身為一個有瀏海的人 每次睡覺前擦完保養品後都一定要掛著髮捲 但睡覺拔掉髮捲的話瀏海還是照樣貼在臉上 容易變得油膩膩⋯⋯  或是素顏出門的時候瀏海也更容易被額頭出油搞塌 可是就已經素顏了根本也不想拍蜜粉到臉上還要卸妝啊！！  這種時候我們有一個救星✨ 就是MIKIMOTO COSMETICS御本木美肌保養粉  晚上可以作為晚安蜜粉來壓掉保養品的黏膩感 這樣也不怕辛辛苦苦擦完的保養品全部沾到枕頭上或是絨毛娃娃的毛上面  美肌保養粉屬於有防止肌膚黏膩功效的保養品 無香料、無色素、使用超純水以及經敏感測試 對於肌膚無負擔 早晚都能夠使用   篩網很細 粉質也很輕盈細緻 上臉後完全沒有粉感 既沒有皮膚被悶住的感覺 也不會乾燥緊繃     粉撲大又厚實 很快速就能拍完整張臉後抱著喜歡的娃娃睡上美容覺🥰 早上起床也不再滿面油光( ˊᵕˋ*)  日間使用的話除了素顏可用 其實上妝前也可以用  為了保持粉撲乾淨 我的使用方法是妝前保養後拍上美肌保養粉 再接著從防曬往後上妝 妝前使用美肌保養粉的方式很適合想讓光澤底妝的光澤不那麼明顯 或是讓霧面底妝更加霧面的人 沒想到我後續的防曬與氣墊粉餅上臉也不會有結塊或不均勻的情形發生 只是需要注意因為臉部是乾爽的狀態 化妝品上臉後會乾的比較快 所以要加快上妝速度  美肌保養粉屬於不用不會怎樣 用了很不一樣的產品 接觸過後就會感受到它的方便之處 是很值得推薦給大家的好物💗  那麼以上就是我的心得 感謝你們的閱讀！ 有任何問題或想和我聊聊天都歡迎在下方留言 那就下次見囉 掰掰～～,F,"['官方合作', '保養品', '珍珠保養粉', '告別黏膩肌', '保養推薦']",雞腿小公主,rei_1998,FALSE,1
6,255213110,#情報 資生堂全館九折 line導購18%回饋✨&代碼分享 #D樂園推推,"✨資生堂今日line導購18%回饋+line pay中信卡6%=最高24%回饋  且下單即贈百優乳霜18ml (雖然他寫前100名 不過剛剛看還有在送歐～）  ✨還有其他有效代碼： 🔹Line：迎夏保濕組 (水離子熱防禦UV隔離露7ml+亮妍防晒妝前乳15ml+活妍淨泉露(豐潤)18ml*2 🔹Viponly：激抗痕亮采精華液10mL 🔹資生堂好友限定：折300（不確定要滿多少 🔹April：滿2000折100再送活妍淨泉露(豐）18ml （御藏系列無法使用）   🔹資生堂VIP:極上頂級保養組  我自己是選下面這組就有送了 全部折下來不到1500❣️   另外如果買《御藏系列》滿$3,000的話還會贈⬇️  ✨馬卡龍骰子組＋極上柔膚水潤組(極上御藏潔膚皂15ml+極上御藏柔膚露25ml+極上御藏眼唇霜2.5ml+小SFS紗網袋)百優精純乳霜 18mL  骰子組好可愛🎲  其他相關滿",F,"['資生堂', 'Line導購', '情報', 'D樂園推推']",中原大學,,FALSE,1
7,255212805,#分享 被燒到的漂亮洗面乳.ᐟ.ᐟ,最近天氣已經快要熱死掉，就想說用了好久的ALLIE想用看看別的，於是爬文看防曬評比就看到有人用了何謂美的防曬感覺很好用，包裝也很好看૮꒰ ˊᗜˋ ꒱ა  被燒到的噴霧本人  後來因為沒有看過這個品牌就去爬了一下文，結果沒有買防曬，看一看反而被洗面乳吸引了（嗯？？？？）最近剛好快沒了又想找有胺基酸的，就買來試看看，不好用就把他打入冷宮來給大家避雷( •̀  •́ゞ)我買的是「潔淨舒壓洗面乳」，是在蝦皮購入的，一條是980，（現在官網會員價是890，我來不及了不過你們可以）包裝真的就是非常的白白乾淨！本人非常喜歡哈哈哈哈   （特地給他一個美麗的白桌拍漂亮的照片∠( ᐛ 」∠)＿）  他真的就長得跟官網一樣漂亮沒有騙人  （取自官網，偷偷附上美女）  打開聞起來味道香香的，然後質地也感覺是真的胺基酸洗面乳  （給大家科普一下，胺基酸洗面乳都會有點像是結晶的霜體！大家不要買到假的胺基酸洗面乳！到時候臉爛掉！！）目前使用三個禮拜左右，我是中性肌，不過臉很容易泛紅有血絲：（使用下來好像有好一些，臉上的小小疙瘩也都漸漸平掉了！整體心得是蠻滿意的！  附上淺淺ㄉBA照，原相機無修圖！痘疤都還在哈哈哈，洗完很清爽也不會覺得皮膚很緊不舒服，也不會滑滑的洗不乾淨感，有毛,F,['分享'],₍ ⺣̤̬ ₎,f.28_yiiii,FALSE,0
8,255212522,#分享 敏感肌測試 被Astor燒到的微電流面膜🔥,今天分享一個自己好奇觀望很久的東西 ➡️ AKIMIA 會發電的面膜 我對MIT保養品一直都滿有好感 尤其是MIT面膜，有很多好用的品牌 覺得用料實在，價格也相對一線大牌CP值高很多 偶爾會看到一些這個牌子的開箱分享文 但我一直停在觀望的階段 直到看到Astor的影片！他們竟然合作了！ 整個被燒到～～～ 本來就很喜歡Astor的我，每次出片必看 一看到她分享後就忍不住按連結去領體驗片了   我加了LINE好友領了體驗包 也另外下單了幾款自己喜歡的⬇️   東加海星藻保濕、高加索莓果美白、光修護 保濕、修護是敏感肌日常必備 想說夏天要來了，美白也該備一下  我曾經有過敷了個面膜結果臉大泛紅過敏 臉又紅又癢，即時把面膜拿掉還是紅了兩天 現在用新的面膜一定會先在手上試一下 確認不會過敏再往臉上敷好敷滿 尤其是有美白功效的比較容易刺激皮膚 他們家的我試用後都安全過關    敷這面膜並不會真的感覺到有東西在電你 就是很單純的面膜，但是包裝很特別 精華液跟面膜紙是分開的，要用的時候撕開混合 壓ㄧ壓讓紙吸收足夠後再敷到臉上   很久以前聽朋友跟我說 保養是長期抗戰，只,F,[],國立臺中教育大學,,FALSE,0
9,255212350,#分享 何謂美Heiwei 高端精華水安瓶使用心得,"哈嘍大家！請問您是否臉上時常長小顆粒並且為泛紅敏感肌呢？別擔心！今天就跟大家分享一款我覺得很適合各式膚況的「高端精華水安瓶」💦  🌟開始介紹之前大家可以檢視一下自己的皮膚，如果有以下情況很推薦使用唷 1. 毛孔粗大  2. 膚色不均 3. 乾澀無光  4. 過度出油  5. 肌膚顆粒感  此款水安瓶有別於一般精華液，它蘊含珍貴成分與小分子吸收快速，並且鎖水保濕、修復受損肌膚，有效阻斷黑色素，我自己肌膚在換季期的時候常常乾澀無光、長小顆粒！真的困擾我很久😿，化妝的時候都不太服貼，也使用過很多市售的其他安瓶！但最常遇到的問題就是對我來說太厚重與玻尿酸味道會排斥🤧，所以兜轉了很久才被朋友推薦這款「何謂美Heiweibeauty 高端精華水安瓶」，然後就一試成主顧，因為它很清爽還有淡淡的花香，我之後去官網查詢才發現原來香味是來自玫瑰精油香氛🥀 ！超級愛😍  🌟再來就是跟大家介紹我覺得超級貼心的包裝設計 1.	旋蓋卡扣設計  剛開始拿到的時候我還很俗的一直拔開口！之後才發現是用轉的🤣 對於時常外出的族群真的方便，不用害怕會擠壓到開口導致浪費～ 2.	特殊真空瓶身  像市售許多安瓶的包裝很易碎！攜帶很不方便並且拔開一次就必須全部使用完 但此款安瓶的包裝可以保存與用量控制 🤩  🌟接下來就是我自己的使用心得啦（最真心 我覺得它打破了我對安瓶的刻板印象～以前我可能一聽到安瓶就會浮出一股玻尿酸味道哈哈哈，但是它給我的感覺就是一個對肌膚完全沒有負擔、很滑順的保養品！（而且很香 而且包裝也深得我心！他的按頭一次出來的量都是適量的，完全不會有過量造成的浪費🥳  當然一定有真實回饋圖的部分，因為我肌膚最嚴重的問題就是泛紅跟有小顆粒， 在使用了三週後有明顯的改善（使用前後對比）  前：  後：  最後希望大家喜歡我的不專業分享啦！也可以推薦我其他不錯的產品～一起交流分享🤪",F,"['水安瓶', '高端精華水安瓶', '精華液', '小分子精華液']",國立宜蘭大學,,FALSE,0
